N	Unused	Accession	n	gFDR*k
695	2.02	RRRRR_sp|P25205|MCM3_HUMAN	1	0.233030967
761	2	RRRRR_sp|O43745|CHP2_HUMAN	2	0.425641319
867	1.39	RRRRR_sp|P35580|MYH10_HUMAN	3	0.560403189
885	1.2	RRRRR_sp|O14773|TPP1_HUMAN	4	0.732006878
924	0.93	RRRRR_sp|Q9BZL4|PP12C_HUMAN	5	0.876388105
925	0.92	RRRRR_sp|Q5CZC0|FSIP2_HUMAN	6	1.05052879
937	0.85	RRRRR_sp|Q9H6N6|MYH16_HUMAN	7	1.209920653
948	0.77	RRRRR_sp|Q9NPP4|NLRC4_HUMAN	8	1.366721702
976	0.65	RRRRR_sp|Q96PE7|MCEE_HUMAN	9	1.493451532
980	0.64	RRRRR_sp|A8MYU2|KCNU1_HUMAN	10	1.652617569
989	0.59	RRRRR_sp|Q9H269|VPS16_HUMAN	11	1.80133644
990	0.59	RRRRR_sp|Q969J5|I22R2_HUMAN	12	1.963109354
1002	0.53	RRRRR_sp|Q99683|M3K5_HUMAN	13	2.101232318
1011	0.5	RRRRR_sp|Q9BWT3|PAPOG_HUMAN	14	2.242721369
1014	0.48	RRRRR_sp|Q9HBU9|POPD2_HUMAN	15	2.395806535
1020	0.47	RRRRR_sp|Q9BUB5|MKNK1_HUMAN	16	2.540494459
1027	0.45	RRRRR_sp|A1IGU5|ARH37_HUMAN	17	2.680877186
1041	0.39	RRRRR_sp|Q96G03|PGM2_HUMAN	18	2.800400952
1044	0.38	RRRRR_sp|P02708|ACHA_HUMAN	19	2.947484591
1050	0.36	RRRRR_tr|F8W031|F8W031_HUMAN	20	3.084886128
1055	0.34	RRRRR_sp|Q9P2U8|VGLU2_HUMAN	21	3.223779106
1061	0.32	RRRRR_sp|Q5TYW1|ZN658_HUMAN	22	3.358193665
1065	0.32	RRRRR_sp|Q96BQ5|CC127_HUMAN	23	3.497652582
1067	0.31	RRRRR_sp|Q86UK0|ABCAC_HUMAN	24	3.642883338
1068	0.31	RRRRR_sp|Q9HBL0|TENS1_HUMAN	25	3.791117082
1078	0.27	RRRRR_sp|Q9UQ35|SRRM2_HUMAN	26	3.906186981
1084	0.26	RRRRR_sp|P53804|TTC3_HUMAN	27	4.033972405
1095	0.24	RRRRR_sp|Q9BUQ8|DDX23_HUMAN	28	4.141353981
1096	0.24	RRRRR_sp|O43157|PLXB1_HUMAN	29	4.285345922
1104	0.23	RRRRR_sp|Q9P2X0|DPM3_HUMAN	30	4.400992439
1106	0.23	RRRRR_sp|Q8N1W1|ARG28_HUMAN	31	4.539468512
1108	0.23	RRRRR_sp|O43264|ZW10_HUMAN	32	4.677444671
1109	0.23	RRRRR_sp|Q6AHZ1|Z518A_HUMAN	33	4.8192653
1112	0.23	RRRRR_sp|Q8NA54|IQUB_HUMAN	34	4.951908039
1115	0.22	RRRRR_sp|Q8N5U0|CK042_HUMAN	35	5.083837005
1116	0.22	RRRRR_sp|Q9UK96|FBX10_HUMAN	36	5.224403927
1131	0.2	RRRRR_sp|Q96JB1|DYH8_HUMAN	37	5.298312382
1142	0.19	RRRRR_sp|Q9BYN8|RT26_HUMAN	38	5.38909617
1145	0.18	RRRRR_sp|Q5BIV9|SPRN_HUMAN	39	5.516423011
1148	0.18	RRRRR_sp|P55201|BRPF1_HUMAN	40	5.643084381
1152	0.18	RRRRR_sp|Q969S9|RRF2M_HUMAN	41	5.764077597
1153	0.18	RRRRR_sp|P08519|APOA_HUMAN	42	5.899543723
1154	0.18	RRRRR_sp|Q496A3|SPAS1_HUMAN	43	6.034775073
1156	0.17	RRRRR_sp|Q99575|POP1_HUMAN	44	6.164435083
1159	0.17	RRRRR_sp|Q08188|TGM3_HUMAN	45	6.288216979
1166	0.16	RRRRR_sp|Q5VST9|OBSCN_HUMAN	46	6.389365352
1168	0.16	RRRRR_sp|Q2NKX8|ERC6L_HUMAN	47	6.517086063
1169	0.16	RRRRR_sp|Q14690|RRP5_HUMAN	48	6.650053929
1174	0.15	RRRRR_sp|O15062|ZBTB5_HUMAN	49	6.759684468
1175	0.15	RRRRR_sp|Q8TEH3|DEN1A_HUMAN	50	6.891766883
1176	0.15	RRRRR_sp|Q14CZ0|CP072_HUMAN	51	7.023624667
1183	0.14	RRRRR_sp|A8MVJ9|HPF1L_HUMAN	52	7.118967989
1186	0.14	RRRRR_sp|Q9NPR2|SEM4B_HUMAN	53	7.237517413
1187	0.14	RRRRR_sp|Q8NB49|AT11C_HUMAN	54	7.367861983
1189	0.14	RRRRR_sp|Q8IZK6|MCLN2_HUMAN	55	7.491680989
1190	0.14	RRRRR_sp|Q6ZMQ8|LMTK1_HUMAN	56	7.621483376
1197	0.14	RRRRR_sp|Q8WUY1|THEM6_HUMAN	57	7.712215321
1200	0.13	RRRRR_sp|Q9Y5G9|PCDG4_HUMAN	58	7.827898551
1203	0.13	RRRRR_sp|P27487|DPP4_HUMAN	59	7.943004807
1209	0.12	RRRRR_sp|Q8WZ42|TITIN_HUMAN	60	8.037544503
1210	0.12	RRRRR_sp|A7E2Y1|MYH7B_HUMAN	61	8.164750269
1211	0.12	RRRRR_sp|Q9UMN6|KMT2B_HUMAN	62	8.291745952
1212	0.12	RRRRR_sp|P41594|GRM5_HUMAN	63	8.418532071
1213	0.12	RRRRR_sp|P20382|MCH_HUMAN	64	8.545109144
1215	0.12	RRRRR_sp|Q5C9Z4|NOM1_HUMAN	65	8.664340669
1216	0.12	RRRRR_sp|Q96CN5|LRC45_HUMAN	66	8.790403318
1219	0.12	RRRRR_sp|P98194|AT2C1_HUMAN	67	8.901629989
1220	0.12	RRRRR_sp|Q92947|GCDH_HUMAN	68	9.027084818
1221	0.12	RRRRR_sp|O43464|HTRA2_HUMAN	69	9.152334152
1230	0.11	RRRRR_sp|A5PLN7|F149A_HUMAN	70	9.217037823
1231	0.11	RRRRR_sp|Q9NY28|GALT8_HUMAN	71	9.341115389
1233	0.11	RRRRR_sp|Q07890|SOS2_HUMAN	72	9.457315138
1235	0.11	RRRRR_sp|Q9BRS2|RIOK1_HUMAN	73	9.573138532
1237	0.11	RRRRR_sp|Q96LI5|CNO6L_HUMAN	74	9.688587396
1240	0.11	RRRRR_sp|A6NNS2|DRS7C_HUMAN	75	9.795757363
1242	0.1	RRRRR_sp|Q6P1M9|ARMX5_HUMAN	76	9.910382973
1244	0.1	RRRRR_sp|Q9UKU9|ANGL2_HUMAN	77	10.024640011
1249	0.1	RRRRR_sp|Q9HCR9|PDE11_HUMAN	78	10.114178299
1262	0.1	RRRRR_sp|Q7M4L6|SHF_HUMAN	79	10.138324261
1264	0.1	RRRRR_sp|Q9UHE8|STEA1_HUMAN	80	10.250412768
1268	0.09	RRRRR_sp|P22105|TENX_HUMAN	81	10.345803045
1277	0.09	RRRRR_sp|Q674X7|KAZRN_HUMAN	82	10.399714004
1278	0.09	RRRRR_sp|Q8N819|PPM1N_HUMAN	83	10.518303055
1279	0.09	RRRRR_sp|P09067|HXB5_HUMAN	84	10.636706666
1280	0.09	RRRRR_sp|Q15198|PGFRL_HUMAN	85	10.754925272
1282	0.09	RRRRR_sp|Q9Y334|VWA7_HUMAN	86	10.864478057
1284	0.09	RRRRR_sp|Q8WXD9|CSKI1_HUMAN	87	10.973689557
1285	0.09	RRRRR_sp|Q6UX07|DHR13_HUMAN	88	11.091185925
1286	0.09	RRRRR_sp|P34925|RYK_HUMAN	89	11.20849956
1288	0.09	RRRRR_sp|P58499|FAM3B_HUMAN	90	11.316837699
1293	0.08	RRRRR_sp|Q5TZA2|CROCC_HUMAN	91	11.398332156
1294	0.08	RRRRR_sp|Q9UPN3|MACF1_HUMAN	92	11.514683153
1295	0.08	RRRRR_sp|P98161|PKD1_HUMAN	93	11.630854457
1296	0.08	RRRRR_sp|P12270|TPR_HUMAN	94	11.746846484
1297	0.08	RRRRR_sp|A2RTX5|SYTC2_HUMAN	95	11.862659649
1299	0.08	RRRRR_sp|P06746|DPOLB_HUMAN	96	11.9690732
1300	0.08	RRRRR_sp|Q9BYJ1|LOXE3_HUMAN	97	12.084448161
1301	0.08	RRRRR_sp|Q00975|CAC1B_HUMAN	98	12.199645757
1304	0.08	RRRRR_sp|Q9Y2G7|ZFP30_HUMAN	99	12.295778874
1305	0.08	RRRRR_sp|Q9BQI0|AIF1L_HUMAN	100	12.410461436
1306	0.08	RRRRR_sp|P54793|ARSF_HUMAN	101	12.524968373
1307	0.08	RRRRR_sp|Q12882|DPYD_HUMAN	102	12.63930009
1310	0.08	RRRRR_sp|Q8IY37|DHX37_HUMAN	103	12.73398606
1313	0.08	RRRRR_sp|P57073|SOX8_HUMAN	104	12.828239346
1314	0.08	RRRRR_sp|O43525|KCNQ3_HUMAN	105	12.941731189
1325	0.07	RRRRR_sp|Q12955|ANK3_HUMAN	106	12.956521739
1326	0.07	RRRRR_sp|Q9Y2W1|TR150_HUMAN	107	13.068889763
1330	0.07	RRRRR_sp|P55809|SCOT1_HUMAN	108	13.151356653
1334	0.07	RRRRR_sp|Q6PKC3|TXD11_HUMAN	109	13.233328988
1338	0.07	RRRRR_sp|Q9UL03|INT6_HUMAN	110	13.314811204
1339	0.07	RRRRR_sp|Q9BSJ5|CQ080_HUMAN	111	13.425820697
1341	0.07	RRRRR_sp|O00459|P85B_HUMAN	112	13.526570048
1343	0.07	RRRRR_sp|Q7L2E3|DHX30_HUMAN	113	13.627019327
1349	0.07	RRRRR_sp|Q9Y3B2|EXOS1_HUMAN	114	13.686466626
1352	0.07	RRRRR_sp|Q9BPW8|NIPS1_HUMAN	115	13.775887574
1353	0.07	RRRRR_sp|Q92859|NEO1_HUMAN	116	13.885407629
1358	0.07	RRRRR_sp|Q96AP4|ZUP1_HUMAN	117	13.953544215
1360	0.07	RRRRR_sp|A6NFU8|PGPIL_HUMAN	118	14.052109974
1361	0.06	RRRRR_sp|Q2TB10|ZN800_HUMAN	119	14.160783312
1367	0.06	RRRRR_sp|Q9H799|CPLN1_HUMAN	120	14.217105054
1368	0.06	RRRRR_sp|Q8WXX0|DYH7_HUMAN	121	14.325101704
1369	0.06	RRRRR_sp|Q5TCS8|KAD9_HUMAN	122	14.432940579
1371	0.06	RRRRR_sp|P26640|SYVC_HUMAN	123	14.530016174
1376	0.06	RRRRR_sp|Q92698|RAD54_HUMAN	124	14.59491911
1379	0.06	RRRRR_sp|Q8N271|PROM2_HUMAN	125	14.680612921
1380	0.06	RRRRR_sp|Q9NXW9|ALKB4_HUMAN	126	14.787334594
1384	0.06	RRRRR_sp|Q7Z4L5|TT21B_HUMAN	127	14.861617241
1388	0.06	RRRRR_sp|O14917|PCD17_HUMAN	128	14.935471745
1389	0.06	RRRRR_sp|Q9HCE0|EPG5_HUMAN	129	15.041318434
1392	0.06	RRRRR_sp|Q14240|IF4A2_HUMAN	130	15.125249875
1393	0.06	RRRRR_sp|Q04726|TLE3_HUMAN	131	15.230656388
1394	0.06	RRRRR_sp|Q6NT76|HMBX1_HUMAN	132	15.335911671
