Accession	0.1	0.2	0.3	1.1	1.2	1.3	3.1	3.2	5.1	5.2	5.3	7.1	7.2	7.3	10.1	10.2	10.3	12.1	12.2	12.3
Efra.gene10048_i0_length1308.p1			6736.593000000001																	
Efra.gene10049_i0_length1308.p1		37432.644799999995	24964.4969					37358.619999999995			23183.37	29175.712	31388.594999999998		18835.879999999997	-11.0	12961.006999999998		8227.446	12342.900000000001
Efra.gene10189_i0_length1293.p1						2860.7956	8875.823		15507.644		17075.047899999998	23434.284	15382.559	49236.055	30559.789		8750.400000000001		35679.664000000004	31807.118
Efra.gene10803_i4_length1062.p1																-7.0		161464.55860000002	31399.3199	
Efra.gene10913_i0_length1239.p1																			198557.5853	
Efra.gene10979_i0_length1233.p1									340461.2550000001			490174.76	251234.4156999999	305152.6476000001	275002.181				538416.0719999999	
Efra.gene10979_i3_length1134.p1																	133717.1818	331745.80999999994		
Efra.gene110165_i0_length213.p1		6699.112		52231.12	33817.898															
Efra.gene11166_i2_length1221.p1									17435.267								1623.3831			
Efra.gene113616_i0_length210.p1				9879.388																
Efra.gene1160_i1_length3549.p1									82067.783											
Efra.gene11716_i0_length1179.p1				8478.038			3144.294				2947.718	9327.228		18145.345999999998	8095.686					
Efra.gene11803_i0_length1173.p1												38948.771								
Efra.gene11804_i0_length1173.p1														4800.0323	8684.699					
Efra.gene12082_i0_length1156.p1							8765.562000000002					18946.186999999998	13106.75		87171.723	-5.0	4836.014	9176.624000000002		14940.175000000001
Efra.gene12182_i0_length1149.p1					183116.014	71904.9278	261922.9918	253379.93099999998		196140.17390000002	252681.59880000007					-35.0	199991.18350000004			371553.48760000005
Efra.gene12280_i0_length1146.p1												487545.6929999999								
Efra.gene12442_i0_length1134.p1					184593.217	78380.72890000002	289677.50480000005	292075.3832	343560.765		237926.15660000002	456769.1009999999	208837.2086999999	300543.32740000007	297267.92399999994	-32.0		396425.84839999984	524459.164	371520.33550000004
Efra.gene12565_i0_length1128.p1																			11123.371	
Efra.gene12660_i0_length1122.p1								1518.759			1956.691					-1.0			9778.948999999999	
Efra.gene12747_i0_length1116.p1	3790.648	1471.216	19822.802699999997					12595.0								-2.0	940.4438			
Efra.gene12899_i0_length1107.p1									19648.469999999998		4009.528									
Efra.gene13129_i0_length1095.p1															314865.85699999996					
Efra.gene13656_i0_length1062.p1					8425.314		17464.5508				20435.365	18214.690000000002	11799.835299999999	32939.763999999996	39957.061	-4.0	11711.3101	15481.094	19664.307	
Efra.gene13900_i0_length1047.p1				4831.315		3432.8919	22546.9388		18986.7489	10389.438		27048.0897		39607.67199999999	53902.519	-3.0	8008.9941	15481.094		15326.096000000001
Efra.gene13951_i0_length1044.p1															202607.334					
