N	Unused	Accession	n	gFDR*k
1244	0.1	RRRRR_sp|Q9UKU9|ANGL2_HUMAN	77	6.189710611
1249	0.1	RRRRR_sp|Q9HCR9|PDE11_HUMAN	78	6.244995997
1262	0.1	RRRRR_sp|Q7M4L6|SHF_HUMAN	79	6.259904913
1264	0.1	RRRRR_sp|Q9UHE8|STEA1_HUMAN	80	6.329113924
1268	0.09	RRRRR_sp|P22105|TENX_HUMAN	81	6.388012618
1277	0.09	RRRRR_sp|Q674X7|KAZRN_HUMAN	82	6.421299922
1278	0.09	RRRRR_sp|Q8N819|PPM1N_HUMAN	83	6.494522692
1279	0.09	RRRRR_sp|P09067|HXB5_HUMAN	84	6.567630962
1280	0.09	RRRRR_sp|Q15198|PGFRL_HUMAN	85	6.640625000
1282	0.09	RRRRR_sp|Q9Y334|VWA7_HUMAN	86	6.708268331
1284	0.09	RRRRR_sp|Q8WXD9|CSKI1_HUMAN	87	6.775700935
1285	0.09	RRRRR_sp|Q6UX07|DHR13_HUMAN	88	6.848249027
1286	0.09	RRRRR_sp|P34925|RYK_HUMAN	89	6.920684292
1288	0.09	RRRRR_sp|P58499|FAM3B_HUMAN	90	6.987577640
1293	0.08	RRRRR_sp|Q5TZA2|CROCC_HUMAN	91	7.037896365
1294	0.08	RRRRR_sp|Q9UPN3|MACF1_HUMAN	92	7.109737249
1295	0.08	RRRRR_sp|P98161|PKD1_HUMAN	93	7.181467181
1296	0.08	RRRRR_sp|P12270|TPR_HUMAN	94	7.253086420
1297	0.08	RRRRR_sp|A2RTX5|SYTC2_HUMAN	95	7.324595220
1299	0.08	RRRRR_sp|P06746|DPOLB_HUMAN	96	7.390300231
1300	0.08	RRRRR_sp|Q9BYJ1|LOXE3_HUMAN	97	7.461538462
1301	0.08	RRRRR_sp|Q00975|CAC1B_HUMAN	98	7.532667179
1304	0.08	RRRRR_sp|Q9Y2G7|ZFP30_HUMAN	99	7.592024540
1305	0.08	RRRRR_sp|Q9BQI0|AIF1L_HUMAN	100	7.662835249
1306	0.08	RRRRR_sp|P54793|ARSF_HUMAN	101	7.733537519
1307	0.08	RRRRR_sp|Q12882|DPYD_HUMAN	102	7.804131599
1310	0.08	RRRRR_sp|Q8IY37|DHX37_HUMAN	103	7.862595420
1313	0.08	RRRRR_sp|P57073|SOX8_HUMAN	104	7.920792079
1314	0.08	RRRRR_sp|O43525|KCNQ3_HUMAN	105	7.990867580
1325	0.07	RRRRR_sp|Q12955|ANK3_HUMAN	106	8.000000000
1326	0.07	RRRRR_sp|Q9Y2W1|TR150_HUMAN	107	8.069381599
1330	0.07	RRRRR_sp|P55809|SCOT1_HUMAN	108	8.120300752
1334	0.07	RRRRR_sp|Q6PKC3|TXD11_HUMAN	109	8.170914543
1338	0.07	RRRRR_sp|Q9UL03|INT6_HUMAN	110	8.221225710
1339	0.07	RRRRR_sp|Q9BSJ5|CQ080_HUMAN	111	8.289768484
1341	0.07	RRRRR_sp|O00459|P85B_HUMAN	112	8.351976137
1343	0.07	RRRRR_sp|Q7L2E3|DHX30_HUMAN	113	8.413998511
1349	0.07	RRRRR_sp|Q9Y3B2|EXOS1_HUMAN	114	8.450704225
1352	0.07	RRRRR_sp|Q9BPW8|NIPS1_HUMAN	115	8.505917160
1353	0.07	RRRRR_sp|Q92859|NEO1_HUMAN	116	8.573540281
1358	0.07	RRRRR_sp|Q96AP4|ZUP1_HUMAN	117	8.615611193
1360	0.07	RRRRR_sp|A6NFU8|PGPIL_HUMAN	118	8.676470588
1361	0.06	RRRRR_sp|Q2TB10|ZN800_HUMAN	119	8.743570904
