N	Unused	Accession	n	gFDR*k
717	1.4	RRRRR_sp|Q96QU1|PCD15_HUMAN	1	0.139470014
719	1.39	RRRRR_sp|Q2NKX8|ERC6L_HUMAN	2	0.278164117
759	1.02	RRRRR_sp|Q96JC1|VPS39_HUMAN	3	0.395256917
785	0.84	RRRRR_sp|P13489|RINI_HUMAN	4	0.509554140
794	0.76	RRRRR_sp|O95487|SC24B_HUMAN	5	0.629722922
796	0.75	RRRRR_sp|P25205|MCM3_HUMAN	6	0.753768844
814	0.63	RRRRR_sp|Q96LI5|CNO6L_HUMAN	7	0.859950860
832	0.54	RRRRR_sp|Q6PK18|OGFD3_HUMAN	8	0.961538462
837	0.53	RRRRR_sp|Q8NFC6|BD1L1_HUMAN	9	1.075268817
846	0.49	RRRRR_sp|Q92804|RBP56_HUMAN	10	1.182033097
848	0.48	RRRRR_sp|Q86SH2|ZAR1_HUMAN	11	1.297169811
855	0.45	RRRRR_sp|Q9BZL4|PP12C_HUMAN	12	1.403508772
864	0.41	RRRRR_sp|O15015|ZN646_HUMAN	13	1.504629630
868	0.41	RRRRR_sp|Q3SY00|T10IP_HUMAN	14	1.612903226
877	0.39	RRRRR_sp|Q5CZC0|FSIP2_HUMAN	15	1.710376283
878	0.39	RRRRR_sp|Q96PE7|MCEE_HUMAN	16	1.822323462
894	0.32	RRRRR_sp|P20936|RASA1_HUMAN	17	1.901565996
902	0.3	RRRRR_sp|Q9NZM6|PK2L2_HUMAN	18	1.995565410
908	0.29	RRRRR_sp|Q1ZZU3|SWI5_HUMAN	19	2.092511013
914	0.28	RRRRR_sp|A8MYU2|KCNU1_HUMAN	20	2.188183807
918	0.26	RRRRR_sp|Q8N2Y8|RUSC2_HUMAN	21	2.287581699
920	0.26	RRRRR_sp|Q99973|TEP1_HUMAN	22	2.391304348
921	0.26	RRRRR_sp|Q4G0M1|ERFE_HUMAN	23	2.497285559
926	0.25	RRRRR_sp|Q9Y566|SHAN1_HUMAN	24	2.591792657
